epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7323.05,0.96833,0.6495,1.08812,0.96157,0.94455,0.97532,0.77703,0.80526,0.39728,0.9793,0.00955072,0.00955072,0.00955072
43,7498.89,0.96212,0.64538,1.08403,0.95902,0.94339,0.97632,0.77791,0.80243,0.39465,0.97731,0.00952889,0.00952889,0.00952889
44,7674.62,0.96053,0.64539,1.08838,0.94723,0.95658,0.97531,0.77488,0.7935,0.39179,0.97337,0.00950658,0.00950658,0.00950658
45,7850.4,0.95732,0.64167,1.0859,0.96861,0.9509,0.97908,0.78184,0.78609,0.38642,0.97225,0.00948377,0.00948377,0.00948377
46,8026.44,0.95221,0.63192,1.08224,0.96032,0.95464,0.97776,0.7805,0.78651,0.38644,0.97144,0.00946048,0.00946048,0.00946048
47,8201.76,0.95085,0.62901,1.07902,0.9568,0.96229,0.98002,0.79257,0.77788,0.38069,0.96761,0.00943671,0.00943671,0.00943671
48,8377.8,0.95339,0.63518,1.08202,0.96103,0.95113,0.97921,0.78809,0.77532,0.37988,0.96889,0.00941245,0.00941245,0.00941245
49,8553.39,0.94806,0.62667,1.07689,0.96256,0.95537,0.98055,0.79237,0.77508,0.37875,0.96773,0.00938772,0.00938772,0.00938772
50,8729.29,0.94376,0.6227,1.07507,0.95789,0.9573,0.9806,0.78938,0.77161,0.37673,0.96685,0.00936251,0.00936251,0.00936251
51,8904.97,0.93751,0.618,1.07397,0.95863,0.95561,0.98125,0.79604,0.76864,0.37511,0.96572,0.00933683,0.00933683,0.00933683
52,9081.25,0.93596,0.61393,1.07404,0.96323,0.95171,0.97814,0.798,0.7628,0.37462,0.96333,0.00931067,0.00931067,0.00931067
53,9254.94,0.93175,0.61405,1.06994,0.95636,0.95771,0.98014,0.79908,0.7596,0.37025,0.96016,0.00928405,0.00928405,0.00928405
54,9430.1,0.93107,0.61118,1.06969,0.96288,0.95347,0.98039,0.79859,0.75789,0.3694,0.9595,0.00925697,0.00925697,0.00925697
55,9604.99,0.92519,0.60317,1.062,0.96392,0.9551,0.98147,0.80362,0.7599,0.36769,0.95803,0.00922942,0.00922942,0.00922942
56,9780.02,0.92637,0.60489,1.06651,0.96184,0.9551,0.98032,0.80178,0.75735,0.36738,0.9574,0.00920142,0.00920142,0.00920142
57,9955,0.92284,0.6045,1.06536,0.96552,0.95806,0.9809,0.80701,0.74982,0.36594,0.95682,0.00917296,0.00917296,0.00917296
58,10130.1,0.9231,0.60461,1.06443,0.95898,0.96294,0.98098,0.80715,0.74672,0.36568,0.95425,0.00914405,0.00914405,0.00914405
59,10305.3,0.92197,0.60284,1.06331,0.96169,0.9606,0.98043,0.80668,0.74434,0.36417,0.95227,0.00911469,0.00911469,0.00911469
60,10480.2,0.91839,0.60237,1.06258,0.9671,0.95796,0.98187,0.8091,0.74223,0.36158,0.95133,0.00908488,0.00908488,0.00908488
61,10655.2,0.91939,0.59895,1.06292,0.9661,0.95813,0.98201,0.8113,0.7404,0.35879,0.95074,0.00905463,0.00905463,0.00905463
62,10830.5,0.91131,0.59103,1.05974,0.96508,0.95943,0.9827,0.81089,0.73976,0.35803,0.95024,0.00902395,0.00902395,0.00902395
63,11005.6,0.91074,0.59679,1.05868,0.96787,0.95198,0.98194,0.81077,0.73829,0.3576,0.94918,0.00899282,0.00899282,0.00899282
64,11179.4,0.90765,0.59257,1.05827,0.969,0.95198,0.98239,0.80946,0.73688,0.35703,0.9481,0.00896127,0.00896127,0.00896127
65,11354.3,0.9024,0.58562,1.05533,0.96698,0.95698,0.98267,0.80968,0.73417,0.35532,0.94672,0.00892928,0.00892928,0.00892928
66,11530.4,0.90606,0.58586,1.05817,0.96185,0.96061,0.98301,0.81088,0.7329,0.35503,0.94696,0.00889687,0.00889687,0.00889687
67,11705.5,0.89624,0.57833,1.04929,0.96596,0.9558,0.98253,0.8093,0.73205,0.35378,0.94667,0.00886404,0.00886404,0.00886404
68,11882,0.90244,0.58498,1.0525,0.96506,0.9562,0.98221,0.8123,0.72817,0.35261,0.94494,0.00883079,0.00883079,0.00883079
69,12057.3,0.89834,0.57987,1.05195,0.96585,0.95489,0.98104,0.81189,0.7269,0.3524,0.94417,0.00879713,0.00879713,0.00879713
70,12233.1,0.90197,0.58493,1.05397,0.96583,0.95159,0.98117,0.81382,0.72423,0.35074,0.94237,0.00876305,0.00876305,0.00876305
71,12409.2,0.89698,0.57942,1.05299,0.96649,0.9536,0.98142,0.81541,0.72156,0.34945,0.9419,0.00872857,0.00872857,0.00872857
72,12584.5,0.89268,0.57769,1.04621,0.96515,0.95713,0.9823,0.81611,0.71939,0.34894,0.94067,0.00869368,0.00869368,0.00869368
73,12759.2,0.88845,0.56999,1.04655,0.96516,0.95833,0.98242,0.81776,0.71833,0.34814,0.94037,0.00865839,0.00865839,0.00865839
74,12934.9,0.89058,0.57282,1.04754,0.96651,0.95861,0.98247,0.81717,0.71647,0.3474,0.93957,0.00862271,0.00862271,0.00862271
75,13109.9,0.8904,0.56588,1.0469,0.96752,0.95968,0.98291,0.81553,0.71503,0.34659,0.93909,0.00858664,0.00858664,0.00858664
76,13286.2,0.88207,0.56384,1.04299,0.96908,0.96369,0.98391,0.81677,0.71361,0.34552,0.93867,0.00855018,0.00855018,0.00855018
77,13461.2,0.88158,0.5658,1.04496,0.96895,0.96373,0.98412,0.82029,0.71223,0.34512,0.93827,0.00851333,0.00851333,0.00851333
78,13636.2,0.88093,0.56542,1.04275,0.96831,0.96356,0.98423,0.8192,0.7109,0.34424,0.93768,0.00847611,0.00847611,0.00847611
79,13811.2,0.88198,0.5659,1.0434,0.96912,0.96227,0.98386,0.82231,0.70957,0.34374,0.93696,0.00843851,0.00843851,0.00843851
80,13986.3,0.87373,0.56262,1.04039,0.96967,0.96175,0.98381,0.82249,0.70866,0.34367,0.93664,0.00840054,0.00840054,0.00840054
81,14161.5,0.87746,0.56482,1.0412,0.96988,0.96069,0.98312,0.82187,0.70718,0.34271,0.93598,0.0083622,0.0083622,0.0083622
82,14337,0.87551,0.56102,1.04106,0.96955,0.96051,0.98293,0.8225,0.7062,0.34234,0.93543,0.00832349,0.00832349,0.00832349
83,14513,0.87549,0.55591,1.04031,0.9696,0.96042,0.98267,0.82316,0.70498,0.34184,0.93497,0.00828443,0.00828443,0.00828443
84,14689.7,0.8666,0.55013,1.03458,0.96911,0.96106,0.98275,0.82509,0.70401,0.34128,0.9347,0.00824502,0.00824502,0.00824502
